images,pilltype_id,label_code_id,prod_code_id,is_ref,is_front,is_new,image_path,label
1010.jpg,15456-0980-04_9418CA26,15456,980,False,True,False,fcn_mix_weight/dc_224/1010.jpg,15456-0980-04_9418CA26
1018.jpg,41616-0759-83_671DB3BD,41616,759,False,False,False,fcn_mix_weight/dc_224/1018.jpg,41616-0759-83_671DB3BD
1019.jpg,00378-3632-01_4B242591,378,3632,False,True,False,fcn_mix_weight/dc_224/1019.jpg,00378-3632-01_4B242591
103.jpg,16110-0075-01_D21FE93F,16110,75,False,False,False,fcn_mix_weight/dc_224/103.jpg,16110-0075-01_D21FE93F
1040.jpg,00781-1452-01_D720EBF7,781,1452,False,False,False,fcn_mix_weight/dc_224/1040.jpg,00781-1452-01_D720EBF7
1049.jpg,68180-0479-01_B4215A0A,68180,479,False,True,False,fcn_mix_weight/dc_224/1049.jpg,68180-0479-01_B4215A0A
1056.jpg,51285-0538-02_9F304FB2,51285,538,False,False,False,fcn_mix_weight/dc_224/1056.jpg,51285-0538-02_9F304FB2
1059.jpg,00093-2275-34_D82D6C1B,93,2275,False,False,False,fcn_mix_weight/dc_224/1059.jpg,00093-2275-34_D82D6C1B
106.jpg,00093-7242-06_76293B69,93,7242,False,False,False,fcn_mix_weight/dc_224/106.jpg,00093-7242-06_76293B69
107.jpg,68180-0479-01_B4215A0A,68180,479,False,True,False,fcn_mix_weight/dc_224/107.jpg,68180-0479-01_B4215A0A
1081.jpg,00555-0285-02_F52B7AAB,555,285,False,False,False,fcn_mix_weight/dc_224/1081.jpg,00555-0285-02_F52B7AAB
1082.jpg,00603-2957-21_46232309,603,2957,False,False,False,fcn_mix_weight/dc_224/1082.jpg,00603-2957-21_46232309
109.jpg,63010-0027-70_141B8A3C,63010,27,False,False,False,fcn_mix_weight/dc_224/109.jpg,63010-0027-70_141B8A3C
1097.jpg,60505-2580-09_9B1DCDFE,60505,2580,False,True,False,fcn_mix_weight/dc_224/1097.jpg,60505-2580-09_9B1DCDFE
1099.jpg,00093-7242-06_76293B69,93,7242,False,True,False,fcn_mix_weight/dc_224/1099.jpg,00093-7242-06_76293B69
1108.jpg,00093-7325-01_852D42DA,93,7325,False,False,False,fcn_mix_weight/dc_224/1108.jpg,00093-7325-01_852D42DA
1111.jpg,63304-0579-01_5D26AEB5,63304,579,False,False,False,fcn_mix_weight/dc_224/1111.jpg,63304-0579-01_5D26AEB5
1114.jpg,00093-5502-01_742DBA1D,93,5502,False,True,False,fcn_mix_weight/dc_224/1114.jpg,00093-5502-01_742DBA1D
1118.jpg,51285-0091-58_8F2DC79E,51285,91,False,False,False,fcn_mix_weight/dc_224/1118.jpg,51285-0091-58_8F2DC79E
1120.jpg,00173-0758-60_E019704B,173,758,False,True,False,fcn_mix_weight/dc_224/1120.jpg,00173-0758-60_E019704B
1124.jpg,00093-1077-01_60293059,93,1077,False,False,False,fcn_mix_weight/dc_224/1124.jpg,00093-1077-01_60293059
1129.jpg,00172-4364-60_66243311,172,4364,False,False,False,fcn_mix_weight/dc_224/1129.jpg,00172-4364-60_66243311
1131.jpg,00093-5353-01_03270198,93,5353,False,True,False,fcn_mix_weight/dc_224/1131.jpg,00093-5353-01_03270198
1134.jpg,29033-0020-12_BE135F6A,29033,20,False,True,False,fcn_mix_weight/dc_224/1134.jpg,29033-0020-12_BE135F6A
1153.jpg,00172-4365-60_1C280E70,172,4365,False,True,False,fcn_mix_weight/dc_224/1153.jpg,00172-4365-60_1C280E70
1156.jpg,00172-2083-60_B122D8F6,172,2083,False,True,False,fcn_mix_weight/dc_224/1156.jpg,00172-2083-60_B122D8F6
1163.jpg,65862-0050-30_012180AC,65862,50,False,False,False,fcn_mix_weight/dc_224/1163.jpg,65862-0050-30_012180AC
1166.jpg,00173-0758-60_E019704B,173,758,False,True,False,fcn_mix_weight/dc_224/1166.jpg,00173-0758-60_E019704B
1173.jpg,00093-7369-56_AD2FD6CE,93,7369,False,True,False,fcn_mix_weight/dc_224/1173.jpg,00093-7369-56_AD2FD6CE
1186.jpg,65862-0537-50_3A1B9D5C,65862,537,False,True,False,fcn_mix_weight/dc_224/1186.jpg,65862-0537-50_3A1B9D5C
