images,pilltype_id,label_code_id,prod_code_id,is_ref,is_front,is_new,image_path,label
0.jpg,51285-0092-87_BE305F72,51285,92,False,False,False,fcn_mix_weight/dc_224/0.jpg,51285-0092-87_BE305F72
100.jpg,00093-7248-06_7829BC3D,93,7248,False,True,False,fcn_mix_weight/dc_224/100.jpg,00093-7248-06_7829BC3D
1004.jpg,50111-0459-01_1C300E70,50111,459,False,True,False,fcn_mix_weight/dc_224/1004.jpg,50111-0459-01_1C300E70
1005.jpg,16252-0590-99_2B2015D0,16252,590,False,False,False,fcn_mix_weight/dc_224/1005.jpg,16252-0590-99_2B2015D0
1009.jpg,00093-7188-56_0323818C,93,7188,False,False,False,fcn_mix_weight/dc_224/1009.jpg,00093-7188-56_0323818C
1017.jpg,00172-5413-46_E923F4AF,172,5413,False,False,False,fcn_mix_weight/dc_224/1017.jpg,00172-5413-46_E923F4AF
1030.jpg,00093-7168-98_4229A13D,93,7168,False,False,False,fcn_mix_weight/dc_224/1030.jpg,00093-7168-98_4229A13D
1036.jpg,00172-4096-60_B726DBE6,172,4096,False,True,False,fcn_mix_weight/dc_224/1036.jpg,00172-4096-60_B726DBE6
104.jpg,25010-0205-15_E61FF35F,25010,205,False,True,False,fcn_mix_weight/dc_224/104.jpg,25010-0205-15_E61FF35F
1041.jpg,00781-5185-01_8323C1DE,781,5185,False,True,False,fcn_mix_weight/dc_224/1041.jpg,00781-5185-01_8323C1DE
1053.jpg,00172-4097-60_532329F9,172,4097,False,False,False,fcn_mix_weight/dc_224/1053.jpg,00172-4097-60_532329F9
1061.jpg,42043-0190-04_6D1DB6BD,42043,190,False,False,False,fcn_mix_weight/dc_224/1061.jpg,42043-0190-04_6D1DB6BD
1077.jpg,67767-0133-60_26269354,67767,133,False,False,False,fcn_mix_weight/dc_224/1077.jpg,67767-0133-60_26269354
1078.jpg,00378-2625-01_CE23E72F,378,2625,False,True,False,fcn_mix_weight/dc_224/1078.jpg,00378-2625-01_CE23E72F
1086.jpg,00832-1025-00_73233989,832,1025,False,False,False,fcn_mix_weight/dc_224/1086.jpg,00832-1025-00_73233989
1088.jpg,00093-9774-01_F922FC97,93,9774,False,False,False,fcn_mix_weight/dc_224/1088.jpg,00093-9774-01_F922FC97
1094.jpg,00054-2526-25_961C4B22,54,2526,False,False,False,fcn_mix_weight/dc_224/1094.jpg,00054-2526-25_961C4B22
1095.jpg,59762-5021-01_19230CB8,59762,5021,False,True,False,fcn_mix_weight/dc_224/1095.jpg,59762-5021-01_19230CB8
1106.jpg,23155-0062-01_D91D6CAB,23155,62,False,True,False,fcn_mix_weight/dc_224/1106.jpg,23155-0062-01_D91D6CAB
112.jpg,50111-0434-01_F22FF97F,50111,434,False,True,False,fcn_mix_weight/dc_224/112.jpg,50111-0434-01_F22FF97F
1122.jpg,00093-5035-01_472DA39D,93,5035,False,True,False,fcn_mix_weight/dc_224/1122.jpg,00093-5035-01_472DA39D
1132.jpg,00378-2625-01_CE23E72F,378,2625,False,True,False,fcn_mix_weight/dc_224/1132.jpg,00378-2625-01_CE23E72F
1136.jpg,00093-2203-01_CE27E77F,93,2203,False,False,False,fcn_mix_weight/dc_224/1136.jpg,00093-2203-01_CE27E77F
